"artist_id","artist_name"
"A1","Ben (Benjamin Vautier)"
"A2","Bruce Conner"
"A3","Christo"
"A4","Edith Schloss"
"A5","George Herms"
"A6","Jasper Johns"
"A7","Jean Benoit"
"A8","Jeanne-Claude"
"A9","Jim Love"
"A10","John Latham"
"A11","Pablo Picasso"
"A12","Seung-Taek Lee"
"A13","Wolf Vostell"
"A14","Adrien Dax"
"A15","Daniel Spoerri"
"A16","David Jacobs"
"A17","Edward Kienholz"
"A18","Gianni Colombo"
"A19","Jim Dine"
"A20","John Chamberlain"
"A21","Lee Bontecou"
"A22","Martial Raysse"
"A23","Peter Blake"
"A24","Piero Manzoni"
"A25","Robert Indiana"
"A26","Robert Whitman"
"A27","Roy de Forest"
"A28","Alfonso Ossorio"
"A29","Bruce Beasley"
"A30","Carl Fredrik Reuterswärd"
"A31","César Baldaccini"
"A32","Danny LaRue Johnson"
"A33","Fabio Mauri"
"A34","Gérard Deschamps"
"A35","Gustav Metzger"
"A36","Ian Stuart"
"A37","Joan Brossa"
"A38","Lucas Samaras"
"A39","Niki de Saint Phalle"
"A40","Robert Breer"
"A41","Robert Filliou"
"A42","Robert Watts"
"A43","Shusaku Arakawa"
"A44","Tony Palladino"
"A45","Wallace Berman"
"A46","Padhi Frieberger"
"A47","Robert Rauschenberg"
"A48","Louise Nevelson"
"A49","Richard Hamilton"
"A50","Richard Pousette-Dart"
"A51","Richard Lindner"
"A52","George Cohen"
"A53","Jay DeFeo"
"A54","Richard Stankiewicz"
"A55","Shinkichi Tajiri"
"A56","Gordon Wagner"
"A57","Horace Clifford Westermann"
"A58","Jean Dubuffet"
"A59","Jean Tinguely"
"A60","Bernard Réquichot"
"A61","Yolande Fièvre"
"A62","Andrea Raccagni"
"A63","Arman"
"A64","Christo Coetzee"
"A65","Ettore Colla"
"A66","Jackson Pollock"
"A67","Jean Follett"
"A68","Per Olof Ultvedt"
"A69","Sari Dienes"
"A70","Allan Kaprow"
"A71","Richard Hunt"
"A72","Yves Klein"
