"Corpus","Período","Data coleta","Modo","Smoothing","Ano","Artista","NGRAM"
"English","1945-1960",13/10/25,"Case-Insensitive",0,1945,"Cornell",8291
"English","1945-1960",13/10/25,"Case-Insensitive",0,1945,"Rauschenberg",0
"English","1945-1960",13/10/25,"Case-Insensitive",0,1946,"Cornell",8615
"English","1945-1960",13/10/25,"Case-Insensitive",0,1946,"Rauschenberg",0
"English","1945-1960",13/10/25,"Case-Insensitive",0,1947,"Cornell",2527
"English","1945-1960",13/10/25,"Case-Insensitive",0,1947,"Rauschenberg",187
"English","1945-1960",13/10/25,"Case-Insensitive",0,1948,"Cornell",3013
"English","1945-1960",13/10/25,"Case-Insensitive",0,1948,"Rauschenberg",177
"English","1945-1960",13/10/25,"Case-Insensitive",0,1949,"Cornell",4426
"English","1945-1960",13/10/25,"Case-Insensitive",0,1949,"Rauschenberg",4590
"English","1945-1960",13/10/25,"Case-Insensitive",0,1950,"Cornell",5155
"English","1945-1960",13/10/25,"Case-Insensitive",0,1950,"Rauschenberg",1440
"English","1945-1960",13/10/25,"Case-Insensitive",0,1951,"Cornell",2367
"English","1945-1960",13/10/25,"Case-Insensitive",0,1951,"Rauschenberg",245
"English","1945-1960",13/10/25,"Case-Insensitive",0,1952,"Cornell",3327
"English","1945-1960",13/10/25,"Case-Insensitive",0,1952,"Rauschenberg",238
"English","1945-1960",13/10/25,"Case-Insensitive",0,1953,"Cornell",2475
"English","1945-1960",13/10/25,"Case-Insensitive",0,1953,"Rauschenberg",541
"English","1945-1960",13/10/25,"Case-Insensitive",0,1954,"Cornell",2496
"English","1945-1960",13/10/25,"Case-Insensitive",0,1954,"Rauschenberg",161
"English","1945-1960",13/10/25,"Case-Insensitive",0,1955,"Cornell",3287
"English","1945-1960",13/10/25,"Case-Insensitive",0,1955,"Rauschenberg",1147
"English","1945-1960",13/10/25,"Case-Insensitive",0,1956,"Cornell",6513
"English","1945-1960",13/10/25,"Case-Insensitive",0,1956,"Rauschenberg",805
"English","1945-1960",13/10/25,"Case-Insensitive",0,1957,"Cornell",4945
"English","1945-1960",13/10/25,"Case-Insensitive",0,1957,"Rauschenberg",1811
"English","1945-1960",13/10/25,"Case-Insensitive",0,1958,"Cornell",3834
"English","1945-1960",13/10/25,"Case-Insensitive",0,1958,"Rauschenberg",4615
"English","1945-1960",13/10/25,"Case-Insensitive",0,1959,"Cornell",3233
"English","1945-1960",13/10/25,"Case-Insensitive",0,1959,"Rauschenberg",6334
"English","1945-1960",13/10/25,"Case-Insensitive",0,1960,"Cornell",5983
"English","1945-1960",13/10/25,"Case-Insensitive",0,1960,"Rauschenberg",18199
